iter	Passed	Remaining
400	10899	16281
401	10923	16248
402	10945	16214
403	10974	16190
404	10999	16160
405	11024	16129
406	11049	16098
407	11070	16063
408	11094	16031
409	11120	16003
410	11144	15970
411	11166	15936
412	11191	15906
413	11215	15875
414	11245	15852
415	11272	15824
416	11295	15791
417	11323	15766
418	11353	15743
419	11377	15712
420	11403	15683
421	11429	15654
422	11452	15622
423	11477	15592
424	11502	15561
425	11525	15530
426	11548	15496
427	11574	15469
428	11598	15437
429	11621	15405
430	11651	15381
431	11675	15350
432	11700	15321
433	11723	15289
434	11749	15260
435	11773	15229
436	11797	15198
437	11822	15169
438	11848	15141
439	11872	15110
440	11897	15080
441	11920	15049
442	11942	15015
443	11966	14985
444	11989	14953
445	12016	14926
446	12043	14899
447	12068	14870
448	12094	14842
449	12118	14812
450	12141	14779
451	12165	14748
452	12193	14723
453	12222	14698
454	12249	14672
455	12276	14645
456	12307	14623
457	12333	14595
458	12358	14566
459	12382	14536
460	12418	14520
461	12450	14498
462	12502	14500
463	12553	14501
464	12578	14472
465	12614	14455
466	12662	14451
467	12690	14425
468	12710	14391
469	12732	14358
470	12756	14327
471	12778	14295
472	12802	14264
473	12826	14233
474	12855	14208
475	12879	14177
476	12901	14145
477	12926	14116
478	12953	14088
479	12976	14057
480	13001	14028
481	13025	13998
482	13049	13968
483	13074	13938
484	13098	13908
485	13123	13879
486	13145	13847
487	13171	13818
488	13195	13789
489	13220	13760
490	13247	13732
491	13274	13705
492	13301	13679
493	13324	13648
494	13348	13618
495	13372	13587
496	13398	13560
497	13423	13530
498	13444	13498
499	13468	13468
500	13495	13441
501	13520	13413
502	13547	13385
503	13573	13358
504	13600	13331
505	13627	13304
506	13650	13273
507	13676	13245
508	13702	13217
509	13724	13186
510	13749	13157
511	13774	13128
512	13797	13098
513	13824	13071
514	13848	13042
515	13871	13011
516	13895	12981
517	13919	12951
518	13944	12923
519	13970	12895
520	13996	12868
521	14019	12837
522	14042	12807
523	14069	12780
524	14094	12752
525	14118	12722
526	14143	12693
527	14166	12664
528	14191	12635
529	14219	12609
530	14244	12581
531	14268	12552
532	14290	12521
533	14317	12494
534	14344	12467
535	14376	12445
536	14399	12414
537	14421	12384
538	14444	12354
539	14468	12325
540	14492	12295
541	14518	12268
542	14543	12239
543	14561	12205
544	14586	12177
545	14611	12149
546	14635	12120
547	14662	12093
548	14695	12071
549	14729	12051
550	14759	12027
551	14785	11999
552	14808	11970
553	14836	11944
554	14861	11915
555	14887	11888
556	14914	11861
557	14941	11835
558	14965	11806
559	14990	11778
560	15015	11749
561	15039	11721
562	15063	11691
563	15088	11663
564	15113	11636
565	15137	11607
566	15163	11579
567	15187	11551
568	15212	11523
569	15234	11492
570	15258	11464
571	15286	11437
572	15314	11412
573	15336	11382
574	15361	11354
575	15387	11326
576	15414	11300
577	15439	11272
578	15465	11245
579	15489	11216
580	15513	11187
581	15542	11162
582	15565	11133
583	15589	11105
584	15613	11076
585	15640	11049
586	15665	11021
587	15690	10994
588	15716	10966
589	15740	10938
590	15763	10909
591	15790	10882
592	15819	10857
593	15845	10830
594	15872	10804
595	15896	10775
596	15920	10746
597	15945	10719
598	15971	10692
599	15997	10664
600	16018	10634
601	16045	10607
602	16065	10577
603	16095	10552
604	16123	10526
605	16148	10499
606	16172	10470
607	16198	10443
608	16224	10416
609	16249	10389
610	16276	10362
611	16299	10333
612	16326	10306
613	16348	10277
614	16370	10248
615	16392	10218
616	16416	10190
617	16440	10161
